apartment_id,region,quality_class,area_m2,rooms,work_category,work_name,unit,quantity,unit_price,line_cost
2,Санкт-Петербург,Эконом,46.6,2,Сантехника,Разводка труб (точка),точка,20.0,2131.0,42620.0
2,Санкт-Петербург,Эконом,46.6,2,Сантехника,Установка смесителя,шт,1.0,1312.57,1312.57
2,Санкт-Петербург,Эконом,46.6,2,Сантехника,Установка ванны,шт,2.0,3286.16,6572.32
2,Санкт-Петербург,Эконом,46.6,2,Двери,Установка межкомнатной двери,шт,3.0,3653.75,10961.25
3,Город-миллионник,Эконом,88.1,4,Демонтаж,Демонтаж обоев,м2,180.9,67.73,12252.36
3,Город-миллионник,Эконом,88.1,4,Демонтаж,Демонтаж плитки,м2,80.4,211.29,16987.72
3,Город-миллионник,Эконом,88.1,4,Демонтаж,Демонтаж стяжки,м2,68.5,202.99,13904.82
3,Город-миллионник,Эконом,88.1,4,Стены,Штукатурка стен по маякам,м2,197.4,534.64,105537.94
3,Город-миллионник,Эконом,88.1,4,Стены,Шпаклёвка стен,м2,131.7,266.36,35079.61
3,Город-миллионник,Эконом,88.1,4,Стены,Грунтовка стен,м2,123.4,44.64,5508.58
3,Город-миллионник,Эконом,88.1,4,Стены,Возведение перегородки ГКЛ,м2,5.2,713.38,3709.58
3,Город-миллионник,Эконом,88.1,4,Стены,Поклейка обоев,м2,232.3,332.56,77253.69
3,Город-миллионник,Эконом,88.1,4,Стены,Укладка плитки на стену,м2,230.3,1254.74,288966.62
3,Город-миллионник,Эконом,88.1,4,Пол,Стяжка пола,м2,63.2,492.82,31146.22
3,Город-миллионник,Эконом,88.1,4,Потолок,Натяжной потолок,м2,78.1,422.29,32980.85
3,Город-миллионник,Эконом,88.1,4,Потолок,Покраска потолка,м2,76.9,244.44,18797.44
3,Город-миллионник,Эконом,88.1,4,Электрика,Прокладка кабеля,мп,32.0,113.23,3623.36
3,Город-миллионник,Эконом,88.1,4,Электрика,Монтаж светильников,шт,4.0,555.53,2222.12
3,Город-миллионник,Эконом,88.1,4,Сантехника,Разводка труб (точка),точка,32.0,1828.83,58522.56
3,Город-миллионник,Эконом,88.1,4,Сантехника,Установка раковины,шт,2.0,1654.93,3309.86
3,Город-миллионник,Эконом,88.1,4,Двери,Установка межкомнатной двери,шт,4.0,2986.23,11944.92
3,Город-миллионник,Эконом,88.1,4,Двери,Установка входной двери,шт,1.0,3676.54,3676.54
4,Крупный город,Комфорт,36.5,1,Демонтаж,Демонтаж обоев,м2,55.4,106.32,5890.13
4,Крупный город,Комфорт,36.5,1,Демонтаж,Демонтаж плитки,м2,23.7,323.35,7663.4
4,Крупный город,Комфорт,36.5,1,Стены,Штукатурка стен по маякам,м2,94.8,616.05,58401.54
4,Крупный город,Комфорт,36.5,1,Стены,Шпаклёвка стен,м2,80.5,353.29,28439.84
4,Крупный город,Комфорт,36.5,1,Стены,Грунтовка стен,м2,69.9,86.82,6068.72
4,Крупный город,Комфорт,36.5,1,Пол,Наливной пол,м2,20.2,522.95,10563.59
4,Крупный город,Комфорт,36.5,1,Пол,Укладка плитки на пол,м2,27.9,1315.09,36691.01
4,Крупный город,Комфорт,36.5,1,Потолок,Натяжной потолок,м2,25.1,692.35,17377.98
4,Крупный город,Комфорт,36.5,1,Электрика,Штробление под проводку,мп,14.0,417.59,5846.26
4,Крупный город,Комфорт,36.5,1,Электрика,Прокладка кабеля,мп,14.0,120.98,1693.72
4,Крупный город,Комфорт,36.5,1,Электрика,Монтаж светильников,шт,1.0,650.6,650.6
4,Крупный город,Комфорт,36.5,1,Электрика,Сборка электрощита,шт,2.0,8023.8,16047.6
4,Крупный город,Комфорт,36.5,1,Сантехника,Разводка труб (точка),точка,14.0,2744.35,38420.9
4,Крупный город,Комфорт,36.5,1,Сантехника,Установка унитаза,шт,1.0,2775.11,2775.11
4,Крупный город,Комфорт,36.5,1,Сантехника,Установка ванны,шт,1.0,3844.83,3844.83
4,Крупный город,Комфорт,36.5,1,Сантехника,Установка раковины,шт,1.0,2128.46,2128.46
4,Крупный город,Комфорт,36.5,1,Двери,Монтаж откосов,мп,1.0,791.7,791.7
5,Москва,Эконом,68.5,3,Демонтаж,Демонтаж обоев,м2,115.5,113.76,13139.28
5,Москва,Эконом,68.5,3,Демонтаж,Демонтаж плитки,м2,35.9,251.24,9019.52
5,Москва,Эконом,68.5,3,Демонтаж,Демонтаж перегородки,м2,4.1,380.98,1562.02
5,Москва,Эконом,68.5,3,Пол,Стяжка пола,м2,52.6,767.62,40376.81
5,Москва,Эконом,68.5,3,Пол,Укладка ламината,м2,47.4,494.65,23446.41
5,Москва,Эконом,68.5,3,Пол,Укладка плитки на пол,м2,39.0,1177.81,45934.59
5,Москва,Эконом,68.5,3,Пол,Установка плинтуса,мп,42.2,231.61,9773.94
5,Москва,Эконом,68.5,3,Потолок,Штукатурка потолка,м2,45.5,665.51,30280.7
5,Москва,Эконом,68.5,3,Потолок,Потолок из ГКЛ,м2,66.7,1144.8,76358.16
5,Москва,Эконом,68.5,3,Потолок,Покраска потолка,м2,45.5,338.54,15403.57
5,Москва,Эконом,68.5,3,Электрика,Прокладка кабеля,мп,26.0,140.79,3660.54
5,Москва,Эконом,68.5,3,Электрика,Монтаж розеток/выключателей,шт,26.0,380.52,9893.52
5,Москва,Эконом,68.5,3,Электрика,Монтаж светильников,шт,4.0,575.97,2303.88
5,Москва,Эконом,68.5,3,Сантехника,Установка смесителя,шт,1.0,1821.3,1821.3
5,Москва,Эконом,68.5,3,Сантехника,Установка унитаза,шт,2.0,2904.7,5809.4
5,Москва,Эконом,68.5,3,Сантехника,Установка раковины,шт,2.0,1921.12,3842.24
6,Санкт-Петербург,Стандарт,65.9,3,Демонтаж,Демонтаж обоев,м2,143.8,101.18,14549.68
6,Санкт-Петербург,Стандарт,65.9,3,Стены,Штукатурка стен по маякам,м2,156.9,700.4,109892.76
6,Санкт-Петербург,Стандарт,65.9,3,Стены,Шпаклёвка стен,м2,142.3,395.89,56335.15
6,Санкт-Петербург,Стандарт,65.9,3,Стены,Грунтовка стен,м2,99.4,83.45,8294.93
6,Санкт-Петербург,Стандарт,65.9,3,Стены,Поклейка обоев,м2,157.9,520.69,82216.95
6,Санкт-Петербург,Стандарт,65.9,3,Стены,Покраска стен,м2,168.9,429.96,72620.24
6,Санкт-Петербург,Стандарт,65.9,3,Стены,Укладка плитки на стену,м2,121.4,1773.64,215319.9
6,Санкт-Петербург,Стандарт,65.9,3,Пол,Стяжка пола,м2,37.8,928.33,35090.87
6,Санкт-Петербург,Стандарт,65.9,3,Пол,Укладка ламината,м2,57.0,501.3,28574.1
6,Санкт-Петербург,Стандарт,65.9,3,Потолок,Штукатурка потолка,м2,45.4,849.75,38578.65
6,Санкт-Петербург,Стандарт,65.9,3,Потолок,Покраска потолка,м2,61.0,352.69,21514.09
6,Санкт-Петербург,Стандарт,65.9,3,Электрика,Штробление под проводку,мп,26.0,422.64,10988.64
6,Санкт-Петербург,Стандарт,65.9,3,Электрика,Прокладка кабеля,мп,26.0,145.56,3784.56
6,Санкт-Петербург,Стандарт,65.9,3,Электрика,Монтаж розеток/выключателей,шт,26.0,357.82,9303.32
6,Санкт-Петербург,Стандарт,65.9,3,Электрика,Монтаж светильников,шт,3.0,665.03,1995.09
6,Санкт-Петербург,Стандарт,65.9,3,Электрика,Сборка электрощита,шт,2.0,7401.69,14803.38
6,Санкт-Петербург,Стандарт,65.9,3,Сантехника,Разводка труб (точка),точка,26.0,2381.19,61910.94
6,Санкт-Петербург,Стандарт,65.9,3,Сантехника,Установка унитаза,шт,2.0,3141.03,6282.06
6,Санкт-Петербург,Стандарт,65.9,3,Сантехника,Установка ванны,шт,2.0,3930.82,7861.64
6,Санкт-Петербург,Стандарт,65.9,3,Двери,Установка межкомнатной двери,шт,4.0,4428.63,17714.52
6,Санкт-Петербург,Стандарт,65.9,3,Двери,Установка входной двери,шт,2.0,5893.2,11786.4
7,Крупный город,Эконом,36.2,1,Демонтаж,Демонтаж обоев,м2,51.4,53.09,2728.83
7,Крупный город,Эконом,36.2,1,Демонтаж,Демонтаж стяжки,м2,33.5,201.84,6761.64
7,Крупный город,Эконом,36.2,1,Стены,Шпаклёвка стен,м2,83.0,287.78,23885.74
7,Крупный город,Эконом,36.2,1,Стены,Грунтовка стен,м2,58.7,49.46,2903.3
7,Крупный город,Эконом,36.2,1,Стены,Покраска стен,м2,84.8,230.58,19553.18
7,Крупный город,Эконом,36.2,1,Стены,Укладка плитки на стену,м2,83.6,1282.79,107241.24
7,Крупный город,Эконом,36.2,1,Пол,Стяжка пола,м2,19.1,454.19,8675.03
7,Крупный город,Эконом,36.2,1,Пол,Наливной пол,м2,34.1,299.77,10222.16
7,Крупный город,Эконом,36.2,1,Пол,Укладка ламината,м2,19.8,307.16,6081.77
7,Крупный город,Эконом,36.2,1,Пол,Установка плинтуса,мп,32.3,176.63,5705.15
7,Крупный город,Эконом,36.2,1,Потолок,Натяжной потолок,м2,35.2,382.66,13469.63
7,Крупный город,Эконом,36.2,1,Электрика,Штробление под проводку,мп,14.0,241.47,3380.58
7,Крупный город,Эконом,36.2,1,Электрика,Прокладка кабеля,мп,14.0,85.27,1193.78
7,Крупный город,Эконом,36.2,1,Электрика,Монтаж розеток/выключателей,шт,14.0,306.29,4288.06
7,Крупный город,Эконом,36.2,1,Электрика,Монтаж светильников,шт,1.0,438.98,438.98
7,Крупный город,Эконом,36.2,1,Электрика,Сборка электрощита,шт,2.0,4466.31,8932.62
7,Крупный город,Эконом,36.2,1,Сантехника,Разводка труб (точка),точка,14.0,1857.4,26003.6
7,Крупный город,Эконом,36.2,1,Сантехника,Установка смесителя,шт,1.0,921.28,921.28
7,Крупный город,Эконом,36.2,1,Сантехника,Установка ванны,шт,2.0,2447.19,4894.38
7,Крупный город,Эконом,36.2,1,Сантехника,Установка раковины,шт,1.0,1608.4,1608.4
8,Санкт-Петербург,Комфорт,56.2,2,Демонтаж,Демонтаж обоев,м2,108.6,135.09,14670.77
8,Санкт-Петербург,Комфорт,56.2,2,Демонтаж,Демонтаж плитки,м2,42.5,450.1,19129.25
8,Санкт-Петербург,Комфорт,56.2,2,Стены,Штукатурка стен по маякам,м2,115.3,777.01,89589.25
8,Санкт-Петербург,Комфорт,56.2,2,Стены,Шпаклёвка стен,м2,139.4,561.13,78221.52
8,Санкт-Петербург,Комфорт,56.2,2,Стены,Грунтовка стен,м2,80.1,87.46,7005.55
8,Санкт-Петербург,Комфорт,56.2,2,Стены,Возведение перегородки ГКЛ,м2,1.8,1350.63,2431.13
8,Санкт-Петербург,Комфорт,56.2,2,Стены,Покраска стен,м2,138.6,452.09,62659.67
8,Санкт-Петербург,Комфорт,56.2,2,Стены,Укладка плитки на стену,м2,87.5,2093.8,183207.5
8,Санкт-Петербург,Комфорт,56.2,2,Пол,Стяжка пола,м2,38.4,994.46,38187.26
8,Санкт-Петербург,Комфорт,56.2,2,Пол,Укладка плитки на пол,м2,47.4,1668.18,79071.73
8,Санкт-Петербург,Комфорт,56.2,2,Пол,Установка плинтуса,мп,46.1,371.79,17139.52
8,Санкт-Петербург,Комфорт,56.2,2,Потолок,Штукатурка потолка,м2,42.9,994.28,42654.61
8,Санкт-Петербург,Комфорт,56.2,2,Потолок,Натяжной потолок,м2,51.6,970.95,50101.02
8,Санкт-Петербург,Комфорт,56.2,2,Электрика,Прокладка кабеля,мп,20.0,207.13,4142.6
8,Санкт-Петербург,Комфорт,56.2,2,Электрика,Монтаж розеток/выключателей,шт,20.0,607.23,12144.6
8,Санкт-Петербург,Комфорт,56.2,2,Электрика,Сборка электрощита,шт,1.0,8680.23,8680.23
8,Санкт-Петербург,Комфорт,56.2,2,Сантехника,Разводка труб (точка),точка,20.0,3585.51,71710.2
8,Санкт-Петербург,Комфорт,56.2,2,Сантехника,Установка смесителя,шт,1.0,1923.9,1923.9
8,Санкт-Петербург,Комфорт,56.2,2,Сантехника,Установка унитаза,шт,1.0,4206.11,4206.11
8,Санкт-Петербург,Комфорт,56.2,2,Сантехника,Установка раковины,шт,1.0,2534.42,2534.42
9,Москва,Стандарт,53.9,2,Демонтаж,Демонтаж обоев,м2,97.4,126.27,12298.7
9,Москва,Стандарт,53.9,2,Стены,Штукатурка стен по маякам,м2,138.9,701.13,97386.96
9,Москва,Стандарт,53.9,2,Стены,Грунтовка стен,м2,109.1,76.94,8394.15
9,Москва,Стандарт,53.9,2,Стены,Возведение перегородки ГКЛ,м2,2.1,1144.63,2403.72
9,Москва,Стандарт,53.9,2,Стены,Покраска стен,м2,97.4,508.76,49553.22
9,Москва,Стандарт,53.9,2,Стены,Укладка плитки на стену,м2,140.3,2139.16,300124.15
9,Москва,Стандарт,53.9,2,Пол,Стяжка пола,м2,43.1,938.6,40453.66
9,Москва,Стандарт,53.9,2,Пол,Наливной пол,м2,45.9,687.94,31576.45
9,Москва,Стандарт,53.9,2,Пол,Установка плинтуса,мп,47.5,349.99,16624.53
9,Москва,Стандарт,53.9,2,Электрика,Штробление под проводку,мп,20.0,494.53,9890.6
9,Москва,Стандарт,53.9,2,Электрика,Прокладка кабеля,мп,20.0,148.99,2979.8
9,Москва,Стандарт,53.9,2,Электрика,Монтаж розеток/выключателей,шт,20.0,555.1,11102.0
9,Москва,Стандарт,53.9,2,Электрика,Сборка электрощита,шт,2.0,6866.73,13733.46
9,Москва,Стандарт,53.9,2,Сантехника,Разводка труб (точка),точка,20.0,3235.02,64700.4
9,Москва,Стандарт,53.9,2,Сантехника,Установка смесителя,шт,2.0,2196.42,4392.84
9,Москва,Стандарт,53.9,2,Сантехника,Установка унитаза,шт,1.0,3553.51,3553.51
9,Москва,Стандарт,53.9,2,Сантехника,Установка раковины,шт,2.0,2535.76,5071.52
10,Москва,Эконом,30.3,1,Стены,Штукатурка стен по маякам,м2,73.7,619.59,45663.78
10,Москва,Эконом,30.3,1,Стены,Шпаклёвка стен,м2,66.3,361.7,23980.71
10,Москва,Эконом,30.3,1,Стены,Грунтовка стен,м2,62.0,60.91,3776.42
10,Москва,Эконом,30.3,1,Стены,Возведение перегородки ГКЛ,м2,1.0,849.89,849.89
10,Москва,Эконом,30.3,1,Стены,Покраска стен,м2,75.8,444.07,33660.51
10,Москва,Эконом,30.3,1,Пол,Стяжка пола,м2,24.1,732.89,17662.65
10,Москва,Эконом,30.3,1,Пол,Наливной пол,м2,28.6,483.1,13816.66
10,Москва,Эконом,30.3,1,Пол,Укладка ламината,м2,20.3,418.54,8496.36
10,Москва,Эконом,30.3,1,Потолок,Штукатурка потолка,м2,21.3,660.16,14061.41
10,Москва,Эконом,30.3,1,Электрика,Штробление под проводку,мп,14.0,329.37,4611.18
10,Москва,Эконом,30.3,1,Электрика,Монтаж розеток/выключателей,шт,14.0,371.47,5200.58
10,Москва,Эконом,30.3,1,Электрика,Монтаж светильников,шт,1.0,687.19,687.19
10,Москва,Эконом,30.3,1,Электрика,Сборка электрощита,шт,1.0,6595.98,6595.98
10,Москва,Эконом,30.3,1,Сантехника,Разводка труб (точка),точка,14.0,2613.98,36595.72
10,Москва,Эконом,30.3,1,Сантехника,Установка раковины,шт,1.0,2142.45,2142.45
10,Москва,Эконом,30.3,1,Двери,Установка межкомнатной двери,шт,1.0,3966.68,3966.68
11,Санкт-Петербург,Эконом,56.8,2,Демонтаж,Демонтаж обоев,м2,88.6,109.65,9714.99
11,Санкт-Петербург,Эконом,56.8,2,Стены,Штукатурка стен по маякам,м2,113.2,609.29,68971.63
11,Санкт-Петербург,Эконом,56.8,2,Стены,Шпаклёвка стен,м2,139.1,319.59,44454.97
11,Санкт-Петербург,Эконом,56.8,2,Стены,Грунтовка стен,м2,90.9,62.34,5666.71
11,Санкт-Петербург,Эконом,56.8,2,Стены,Возведение перегородки ГКЛ,м2,2.4,754.46,1810.7
11,Санкт-Петербург,Эконом,56.8,2,Стены,Поклейка обоев,м2,109.9,422.36,46417.36
11,Санкт-Петербург,Эконом,56.8,2,Стены,Укладка плитки на стену,м2,79.8,1141.8,91115.64
11,Санкт-Петербург,Эконом,56.8,2,Пол,Стяжка пола,м2,41.3,658.62,27201.01
11,Санкт-Петербург,Эконом,56.8,2,Пол,Наливной пол,м2,29.8,432.99,12903.1
11,Санкт-Петербург,Эконом,56.8,2,Пол,Укладка ламината,м2,30.1,391.83,11794.08
11,Санкт-Петербург,Эконом,56.8,2,Пол,Укладка плитки на пол,м2,37.0,1220.66,45164.42
11,Санкт-Петербург,Эконом,56.8,2,Пол,Установка плинтуса,мп,28.4,257.44,7311.3
11,Санкт-Петербург,Эконом,56.8,2,Потолок,Натяжной потолок,м2,42.8,467.55,20011.14
11,Санкт-Петербург,Эконом,56.8,2,Потолок,Потолок из ГКЛ,м2,40.6,926.89,37631.73
11,Санкт-Петербург,Эконом,56.8,2,Электрика,Штробление под проводку,мп,20.0,322.39,6447.8
11,Санкт-Петербург,Эконом,56.8,2,Электрика,Прокладка кабеля,мп,20.0,99.19,1983.8
11,Санкт-Петербург,Эконом,56.8,2,Электрика,Монтаж розеток/выключателей,шт,20.0,388.86,7777.2
11,Санкт-Петербург,Эконом,56.8,2,Электрика,Монтаж светильников,шт,3.0,513.93,1541.79
11,Санкт-Петербург,Эконом,56.8,2,Электрика,Сборка электрощита,шт,2.0,5793.66,11587.32
11,Санкт-Петербург,Эконом,56.8,2,Сантехника,Разводка труб (точка),точка,20.0,2355.38,47107.6
11,Санкт-Петербург,Эконом,56.8,2,Сантехника,Установка унитаза,шт,2.0,2594.12,5188.24
11,Санкт-Петербург,Эконом,56.8,2,Сантехника,Установка ванны,шт,1.0,2683.75,2683.75
11,Санкт-Петербург,Эконом,56.8,2,Сантехника,Установка раковины,шт,1.0,2162.14,2162.14
11,Санкт-Петербург,Эконом,56.8,2,Двери,Монтаж откосов,мп,2.6,804.34,2091.28
12,Регион,Эконом,36.3,1,Стены,Штукатурка стен по маякам,м2,88.9,380.63,33838.01
12,Регион,Эконом,36.3,1,Стены,Шпаклёвка стен,м2,78.4,247.47,19401.65
12,Регион,Эконом,36.3,1,Стены,Грунтовка стен,м2,64.6,39.9,2577.54
12,Регион,Эконом,36.3,1,Стены,Возведение перегородки ГКЛ,м2,1.0,515.98,515.98
12,Регион,Эконом,36.3,1,Стены,Поклейка обоев,м2,84.5,295.31,24953.7
12,Регион,Эконом,36.3,1,Стены,Укладка плитки на стену,м2,92.6,1071.35,99207.01
12,Регион,Эконом,36.3,1,Пол,Стяжка пола,м2,20.8,391.56,8144.45
12,Регион,Эконом,36.3,1,Пол,Наливной пол,м2,27.4,273.89,7504.59
12,Регион,Эконом,36.3,1,Пол,Укладка ламината,м2,18.5,336.1,6217.85
12,Регион,Эконом,36.3,1,Пол,Установка плинтуса,мп,34.4,156.69,5390.14
12,Регион,Эконом,36.3,1,Потолок,Потолок из ГКЛ,м2,19.1,550.66,10517.61
12,Регион,Эконом,36.3,1,Потолок,Покраска потолка,м2,30.2,156.57,4728.41
12,Регион,Эконом,36.3,1,Электрика,Штробление под проводку,мп,14.0,206.8,2895.2
12,Регион,Эконом,36.3,1,Электрика,Прокладка кабеля,мп,14.0,82.97,1161.58
12,Регион,Эконом,36.3,1,Электрика,Монтаж розеток/выключателей,шт,14.0,200.7,2809.8
12,Регион,Эконом,36.3,1,Электрика,Монтаж светильников,шт,1.0,388.87,388.87
12,Регион,Эконом,36.3,1,Сантехника,Разводка труб (точка),точка,14.0,1539.51,21553.14
12,Регион,Эконом,36.3,1,Сантехника,Установка унитаза,шт,2.0,1528.79,3057.58
12,Регион,Эконом,36.3,1,Двери,Установка межкомнатной двери,шт,1.0,2253.09,2253.09
13,Москва,Эконом,32.8,1,Демонтаж,Демонтаж стяжки,м2,24.1,268.96,6481.94
13,Москва,Эконом,32.8,1,Стены,Штукатурка стен по маякам,м2,67.2,682.88,45889.54
13,Москва,Эконом,32.8,1,Стены,Шпаклёвка стен,м2,78.9,441.88,34864.33
13,Москва,Эконом,32.8,1,Стены,Грунтовка стен,м2,84.3,60.1,5066.43
13,Москва,Эконом,32.8,1,Стены,Поклейка обоев,м2,53.3,519.14,27670.16
13,Москва,Эконом,32.8,1,Стены,Покраска стен,м2,87.6,379.35,33231.06
13,Москва,Эконом,32.8,1,Пол,Наливной пол,м2,21.6,742.08,16028.93
13,Москва,Эконом,32.8,1,Пол,Укладка плитки на пол,м2,26.3,1354.11,35613.09
13,Москва,Эконом,32.8,1,Пол,Установка плинтуса,мп,19.6,270.84,5308.46
13,Москва,Эконом,32.8,1,Потолок,Штукатурка потолка,м2,18.6,692.52,12880.87
13,Москва,Эконом,32.8,1,Потолок,Потолок из ГКЛ,м2,32.1,978.98,31425.26
13,Москва,Эконом,32.8,1,Потолок,Покраска потолка,м2,28.8,326.73,9409.82
13,Москва,Эконом,32.8,1,Электрика,Штробление под проводку,мп,14.0,352.08,4929.12
13,Москва,Эконом,32.8,1,Электрика,Прокладка кабеля,мп,14.0,124.43,1742.02
13,Москва,Эконом,32.8,1,Электрика,Монтаж розеток/выключателей,шт,14.0,376.24,5267.36
13,Москва,Эконом,32.8,1,Электрика,Монтаж светильников,шт,1.0,696.67,696.67
13,Москва,Эконом,32.8,1,Сантехника,Разводка труб (точка),точка,14.0,2219.75,31076.5
13,Москва,Эконом,32.8,1,Сантехника,Установка смесителя,шт,2.0,1584.6,3169.2
14,Санкт-Петербург,Стандарт,39.3,1,Демонтаж,Демонтаж обоев,м2,97.9,99.37,9728.32
14,Санкт-Петербург,Стандарт,39.3,1,Демонтаж,Демонтаж стяжки,м2,24.6,348.95,8584.17
14,Санкт-Петербург,Стандарт,39.3,1,Стены,Штукатурка стен по маякам,м2,92.1,704.96,64926.82
14,Санкт-Петербург,Стандарт,39.3,1,Стены,Шпаклёвка стен,м2,74.5,424.33,31612.58
14,Санкт-Петербург,Стандарт,39.3,1,Стены,Грунтовка стен,м2,64.0,67.66,4330.24
14,Санкт-Петербург,Стандарт,39.3,1,Стены,Возведение перегородки ГКЛ,м2,1.3,866.03,1125.84
14,Санкт-Петербург,Стандарт,39.3,1,Стены,Поклейка обоев,м2,98.0,445.24,43633.52
14,Санкт-Петербург,Стандарт,39.3,1,Стены,Покраска стен,м2,76.9,394.67,30350.12
14,Санкт-Петербург,Стандарт,39.3,1,Пол,Укладка ламината,м2,30.1,618.88,18628.29
14,Санкт-Петербург,Стандарт,39.3,1,Пол,Укладка плитки на пол,м2,22.8,1430.44,32614.03
14,Санкт-Петербург,Стандарт,39.3,1,Потолок,Натяжной потолок,м2,29.3,648.89,19012.48
14,Санкт-Петербург,Стандарт,39.3,1,Потолок,Покраска потолка,м2,22.2,360.22,7996.88
14,Санкт-Петербург,Стандарт,39.3,1,Электрика,Прокладка кабеля,мп,14.0,169.79,2377.06
14,Санкт-Петербург,Стандарт,39.3,1,Электрика,Монтаж розеток/выключателей,шт,14.0,445.51,6237.14
14,Санкт-Петербург,Стандарт,39.3,1,Электрика,Монтаж светильников,шт,1.0,790.99,790.99
14,Санкт-Петербург,Стандарт,39.3,1,Электрика,Сборка электрощита,шт,1.0,7867.34,7867.34
14,Санкт-Петербург,Стандарт,39.3,1,Сантехника,Разводка труб (точка),точка,14.0,3382.59,47356.26
14,Санкт-Петербург,Стандарт,39.3,1,Сантехника,Установка смесителя,шт,2.0,1737.1,3474.2
14,Санкт-Петербург,Стандарт,39.3,1,Сантехника,Установка унитаза,шт,2.0,3117.09,6234.18
14,Санкт-Петербург,Стандарт,39.3,1,Сантехника,Установка раковины,шт,2.0,2510.91,5021.82
14,Санкт-Петербург,Стандарт,39.3,1,Двери,Монтаж откосов,мп,1.0,800.31,800.31
15,Крупный город,Эконом,55.0,2,Демонтаж,Демонтаж плитки,м2,45.1,186.53,8412.5
15,Крупный город,Эконом,55.0,2,Демонтаж,Демонтаж перегородки,м2,1.7,331.69,563.87
15,Крупный город,Эконом,55.0,2,Стены,Штукатурка стен по маякам,м2,85.6,398.94,34149.26
15,Крупный город,Эконом,55.0,2,Стены,Шпаклёвка стен,м2,142.7,228.03,32539.88
15,Крупный город,Эконом,55.0,2,Стены,Грунтовка стен,м2,108.5,41.45,4497.33
15,Крупный город,Эконом,55.0,2,Стены,Поклейка обоев,м2,144.8,247.12,35782.98
