text,star_width,rating
"Пришел к нам домой ИП Неволин Андрей Евгеньевич ( ИНН 242305756847). Выбило автомат, сгорела розетка. Обосрал наши шнейдоровские розетки, одна из них сгорела после 30 лет службы. Поставил свои дешевые китайские. Взял за свою работу 38 тысяч рублей. Поменял автомат. Забрал исправный автомат с собой, поставил свой, который слишком мощный для нашей проводки. Пишу через год, когда под воздействием этого автомата сгорело еще 3 розетки.",13,1.0
"Не пользуйтесь услугами человека, выдающего себя за мастера по ремонту холодильников в г. Ковров Владимирской области, который представляется как ""Антон Архипов"" (рекламные объявления от его имени распространяются в почтовых ящиках домов. Его контактные телефоны +7 (920) 627-83-25, +7 (996) 010-87-30). Он обманывает клиентов, особенно пожилых людей.",13,1.0
"Взял заказ через сайт ""Петровича"" : биржа профессионалов. Работу сделал, но заказчик отказался платить всю сумму за сделанную работу, сославшись на несоблюдение сроков, хотя речи о сроках Вообще не было! Написал в службу поддержки - никакой реакции. А этот нечестным заказчик и дальше размещает заказы, чтобы найти других Простаков!",26,2.0
"Мошенник, не имейте дела с этим человеком, взял деньги, ничего не купил, только красиво поет, долгов по исполнительным листам на 13 мл рублей",13,1.0
Компанию Профстрой - рекомендую! Мастера своего дела. Взятые на себя обязательства выполняют в полном объеме! Нужен качественный ремонт - вам сюда!,65,5.0
Не одного документа для допуска рабочих не прислали. Исполнительную документацию не дождёшься!!! У них просто нет никого в штате.,13,1.0
"Я, как заказчик полностью доволен выполненным ремонтом. Цена - качество на уровне. Ребята все сделали четко по срокам, не обманули даже в мелочах. Смело обращайтесь!",65,5.0
"Вывод: Прежде чем звать «мастеров», под запись в телефонном разговоре ""звоните договоримся"", проговаривайте каждую деталь и общую сумму, выше которой цена не будет ни при каких обстоятельствах.",13,1.0
"Хотим поблагодарить «Очень Умелые Ручки» за качественный ремонт в ванной, туалете и балконе. Балясников Руслан универсальный мастер, который может воплотить практически любые решения по ремонту в квартире и предложить наилучшие варианты. Цена соответствует качеству выполненных работ и что немаловажно Руслан даёт рекомендации по материалам, сантехнике и как что лучше сделать., а также закупку материалов берут на себя, что значительно облегчает жизнь. Ремонт был выполнен даже немного раньше обговоренного срока. На выполненный ремонт даётся гарантия, что говорит об ответственности за результат.",65,5.0
"Данная организация, если ее так можно назвать, расклеивает и раскидывает в почтовые ящики объявления как диспетчерская аварийная служба от жилищника (ОДС). У моей бабушки потекла труба в ванной. Она позвонила туда, думая, что это ОДС. Приехал горе-сантехник, который не смог это починить. Но зато смог нещадно обмануть 82-летнюю старушку. Вместо ремонта труб, ей зачем-то поменяли смеситель и сифоны, какие-то прокладки и т.д. И взяли с нее 50000-00 р. ПЯТЬДЕСЯТ, су*а, ТЫСЯЧ! КАРЛ!!! Обманул на товарах: смеситель, который стоит 6000-00 р., продал ей за 14000-00. За то, что налил, прости Господи, Tiret в слив, он взял 5500-00 р. А вишенкой на торте был следующий прайс: +1,5% ко всей этой сумме за стесненный доступ! Я бы еще поняла, если бы он на совесть все сделал. Но через несколько дней у бабушки прорвало трубу! И она опять звонит в эту же контору. И новые сантехники берут с нее еще 25000-00 р. Здесь приличные слова у меня заканчиваются. Проведя детективную работу, было выяснено, что данный ипэшничек тупо агрегатор, который устанавливает конские прайсы. Ребята, вы кармы не боитесь?",13,1.0
"Делает ужасный ремонт якобы с бригадой. Специалистов подыскивает на сервисах с мастерами, договоренности не соблюдает, никаких документов и гарантий нет, итоги его ремонтов - переделки.",26,2.0
"Вынуждена согласиться с отзывом ниже, ужасный ремонт делает этот человек со своей «бригадой». Специалистов находит на юду, договаривается с ними на одну цену, клиентам говорит в два раза больше. Будьте аккуратны.",26,2.0
"Ремонт квартиры в Москве, 86 кв.м. Первый ремонт мы делали с Александром еще в 2018 году жк Ленинградский в Химках. Там ремонт был попроще, без дизайн проекта. Сейчас мы закончили ремонт в жк Зилард 86 кв.м по дизайн проекту дизайнера Елены, с которой нас познакомил Александр. Как мы и предполагали, все работы выполнены просто супер. Договор, смета плюс стройматериалы, все сделано под ключ. Очень рады нашему сотрудничеству. Успехов вам и будем рекомендовать. +7999-984-1135, +7977-943-2775 вот основные 2 номера. Оставили отзывы в вашей группе https://vk.com/topic-61887607_42931568",65,5.0
"Не рекомендую ""специалиста"" Павла +7 963 926-66-02 с напарником. Рекламирует свои услуги, обещает гарантию, по факту, работу выполнил плохо и деньги не вернул.",13,1.0
"Обратился за выполнением сантехнических работ. Сделали очень плохо, трубу потом прорвало, краны вывели криво. Взяли деньги за работы, которые фактически не выполняли.",13,1.0
"Буквально с первой встречи с Романом на объекте и обсуждения дизайн-проекта сложилось впечатление, что я общаюсь с серьёзным и грамотным человеком, понравилось описание процессов и подходов к ремонту. В итоге мы сделали предварительную смету, которая меня также устроила и приступили к работе.",65,5.0
"Николай позиционирует себя как универсальный специалист. Однако на деле он проявил себя как некомпетентный и бесчестный работник. Он не подготовил стены к покраске, небрежно нанёс краску, не снял розетки и не очистил пространство вокруг них. Инженерную доску он не уложил, а нанял неких мастеров, которые, по всей видимости, выполнили работу некачественно. Николай брал деньги за всё, включая расходы на дорогу. В результате он испортил материалы, и теперь всё придётся переделывать. Он не желает нести ответственность за свои действия и не способен выполнять работу должным образом. Очень непорядочный человек!",13,1.0
"Люди, ожидавшие его, были разочарованы тем, что «мастер» перестал отвечать на звонки и не явился. После этого он несколько раз обещал перезвонить и договориться о новой встрече, но не сдержал своего обещания. Затем я сам ожидал его в назначенное время. Николай Сергеевич сказал, что перезвонит через три минуты, но снова не явился.",13,1.0
"Перед стартом ремонта Игорь рассказывал, что у него есть бригада, с которой он постоянно работает, что готов предоставлять все чеки и присылать фото. По факту – Игорь не смог предоставить фотографии заказанных контейнеров (4 штуки на 40 000 руб), стройматериалов или каких-либо чеков. Подтвердить расходы или количество материала было невозможно (все закупалось в большем объеме, но перерасчета не было). На работы он нанимал низко квалифицированных самых душевых мастеров, с которыми до этого ни разу не сотрудничал. Все стены жутко кривые, пол весь кривой, обои испорчены (клей на швах не отмыть, наклеены с нарушениями из-за чего отходят, где-то порезаны и наклеены отдельными лоскутами, клеем их мазали на грязном полу грязной кисточкой, клеили с табуретки, никакого нормально инструмента не было), ламинат разошелся (мастер при этом хамил), размеры стен нарушены из-за чего между ванной и стеной зазор в 2 сантиметра (хотя были все четкие планы от архитектора с точными размерами), ламинат после установки не был закрыт защитной пленкой из-за чего на нем теперь дефекты. Установленные до этого подоконники не то, что не были закрыты, на них разложили стройматериалы, пепельницы и вытирали прямо об подоконники железный шпатель со штукоторкой, что конечно же испортили подоконники. После своего ухода оставили квартиру в жутком состоянии со всем мусором – банки из под энергетиков, весь пол в жевательном табаке, банки с остатками стройматериалов, мешки с мусором и даже грязные кроссовки строителей. Игорь игнорировал половину встреч, просто отменял их за 5 минут до начала, когда я уже была на объекте. Обманывал со сроками выполнения работ (говорил, что начали работы определенные, но когда я приходила на объект, работ не было, отправил меня искать затирку (нужный цвет), которая еще не продавалась практически ни в одном магазине (только вышла на рынок), потому что он может работать только с ней. В целом абсолютно наглое и беспринципное отношение. За все время ремонта я потеряла кучу нервов, времени и денег. Игорь не признал почти ни одну из своих ошибок и только придумывал самые нелепые отговорки. Квартиру пришлось доделывать с другой бригадой и прорабом, но некоторые вещи уже не исправить (дорого и нудно много ломать). Это все было похоже на абсурд.",13,1.0
"var loadDeferredStyles = function () { var addStylesNode = document.getElementById(""deferred-styles""); var replacement = document.createElement(""div""); replacement.innerHTML = addStylesNode.textContent; document.body.appendChild(replacement); addStylesNode.parentElement.removeChild(addStylesNode); }; var raf = window.requestAnimationFrame || window.mozRequestAnimationFrame || window.webkitRequestAnimationFrame || window.msRequestAnimationFrame; if (raf) raf(function () { window.setTimeout(loadDeferredStyles, 0); }); else window.addEventListener('load', loadDeferredStyles);",13,1.0
"Будьте осторожны в поисках оконщика. Павел Сергушкин +7 963 926-66-02 рекламирует свои услуги, обещает гарантию, по факту, работу выполнил плохо и деньги не вернул.",13,1.0
"+7 968 643-56-33 Николай Николаевич Мишин мошенник чистой воды, легко входит в доверие к людям, не выполняет договоренностей, не подписывает и не предлагает договоров в бумажной форме. Предлагает цены ниже рыночных, таким образом обманывает людей.",13,1.0
"Хочу выразить благодарность! РосСтройАрт-команда специалистов. Мне посоветовал знакомый эту организацию, всем доволен. Без нареканий- Рекомендую.",65,5.0
"Не верьте этому недочеловеку, уже пол года как должен деньги, постоянно обещает, но денег за выполненные работы нет. Если вы читаете этот отзыв, знайте, казаков рамиль наилич кидала.",13,1.0
Эти люди Александра ее муж Николай вымогают денежные средства под шантажом . опорочить человека привлекают иностранных граждан угрозой два человека уже пострадали . кидают рабочих .,13,1.0
"Все начиналось очень даже не плохо, Барягин А.И. активно взялся за работу, очень быстро все завершил, очень много взял денег по мимо указанной суммы. Стоимость работ выросла больше чем на 20 тр., хотя в договоре написано, что она окончательная и не может вырасти просто так. Об этом же и устно заявлял Барягин. А также было потрачено большее 150 т.р. на материал, который Барягин закупал сам. При этом нам не давал закупать материал, чтобы бонусы от покупки материала упали ему, а не нам. Даже когда в Бауцентре вместе покупали плитку и т.д. всегда использовал свою карту для начисления бонусов, не давая воспользоваться нашей (якобы у него там скидка большая). Но это не главное. Главное, что он наделал в квартире.",13,1.0
"Федотов Андрей Анатольевич, ныне величающий себя Михайлов Даниил Анатольевич - на это имя есть судебные дела. Ну ооооочень плохо делает ремонт и кидает. Возможно не один работает, но это мои догадки, так что на всякий случай остерегайтесь имени Ильяр Аликович Ханнанов. Номер Даниила +7 (999) 901-42-66 - оформлен не на него. Ильяр есть на профи.ру",13,1.0
"16.07.24 заключил с ИП Примакова Алена Андреевна ИНН 471513142304 договор на ремонт квартиры. Строго оговорили перед началом работ, что бюджет ремонта 1000000 (один миллион) рублей и увеличен он быть не может, а так-же сроки - строго до конца августа 2024 г. (т.к. именно до этого срока снял и оплатил жилье для семьи на время ремонта). Обязались сделать до 24.08.24 и за указанную сумму, что и зафиксировано в Договоре. Уверяли, что имеют большой опыт, образование и бригаду проверенных мастеров. Прораб и, по совместительству муж, Примаковой Алены, по имени Аркадий, все очень красиво рассказывал, уверял, что у него огромный опыт и работы налажены как на конвейере. В сроки не уложились, т.к. работали не каждый день и были моменты, когда по 3-4 дня никто не появлялся и работы не производились (есть видеозаписи с датами, где четко все видно). Позже узнал, что они набрали еще объектов и на все видимо не хватало времени и ресурсов. Однако всю сумму, указанную в договоре, я оплатил строго вовремя и в полном объеме. В связи с тем, что сроки нарушены, изменили ТЗ и заключили доп соглашение к договору, по которому сроки продлялись аж до 30.09.24. Вынужден был продлить аренду съемного жилья. Меня снова уверяли, что ""вот сейчас уж точно все успеем, будет кофетка"". Но и в этот срок работа не была закончена. Заключили еще одно соглашение на продление сроков до 10.10.24, но уже прописали, что при нарушении сроков ИП Примакова А.А. обязуется компенсировать мне сумму в 120000₽, потраченную на аренду жилья. При этом я доплатил сверх договора 79359₽ на закупку дополнительных материалов, как мне было сказано, ""для завершения всех работ"". Сегодня 21.10.24, квартира не доделана и жить в ней нельзя! Мало того, отциклеванный ""мастерами"" паркет подняло и сломало в нескольких местах, штукатурка в коридоре пошла трещинами, большой список недоделок (не закрывающиеся двери, болтающиеся на скрутках светильники, неправильно закрепленные розетки, обшарпанные углы там, где казалось бы все свежеокрашено и должно быть идеальным, недоделанный санузел, недоделанные полы в коридоре, не установленные вентиляторы на концах вентиляционных шахт и т.д.). Мало того, как только я стал требовать устранить недоделки и выплатить неустойку (которая прописана в соглашении) сразу начались качели, оскорбления и попытки выставить мне дополнительные счета, которые никак не согласовывались, с мотивировкой ""мы вам все сделали сверх договора"", хотя по факту это не так и не сделано даже то, что в договоре прописано черным по белому.. Пытался мирно договориться, чтобы все недоделки были устранены, но в ответ слышал только хамство и оскорбления (есть переписка в воцап со всей этой дичью). По итогу вынужден до сих пор жить с семьей в съемном жилье, т.к. жить в квартире невозможно и небезопасно (электропроводка не сделана должным образом). Сейчас готовлю проведение независимой экспертизы и далее буду подавать в суд. Крайне не рекомендую данных подрядчиков! Не получите ни качества, ни соблюдения сроков. Кому интересно пришлю все необходимые доказательства (фото, видео, с датами, копии платежных документов и т.д.)",13,1.0
"Неответственный исполнитель, договорились на укладку ламината и установку кондиционера.Приехал укладывать ламинат сам, деньги попросил вперед, в итоге ламинат испаганил, слишком много кусков отрезал криво и зазор минимальный сделал, что плохо. После начал разговаривать на счет кондея и установки, в итоге начал затирать про какую то левую фирму с девчонкой - явно кол-центр. Удачи этому бизнесмену-самозанятому в его бизнесе по прогреву клиентов. НИКОМУ НЕ СОВЕТУЮ",13,1.0
"В итоге, я остался очень разочарован результатом работы Пангратяна Арсена Вараздатовича. Это настоящий обман, и я советую всем, кто планирует проводить ремонт, не доверять этому мошеннику. Он не способен предоставить качественные услуги и, вероятно, будет продолжать обворовывать своих клиентов.",13,1.0
"Безответственные и никчёмные рабочие. Не умеют класть плитку и клеить обои. Кидают на деньги, под видом аванса за часть работ.",13,1.0
"Схема обмана проста: вы обращаетесь к нему по объявлению с авито с целью сделать очень качественный ремонт, он производит на вас прекрасное впечатление, вы подписываете договор, согласно которому вы вносите аванс до начала выполнения работ, потом создается видимость выполнения этих работ и начинается….снова и снова авансы, без выполненных в полном объеме работ, попутно вы выдаете деньги для приобретения материалов, т.к. у него в каждом магазине скидка, и в итоге ни материалов, ни авансов, и человек со своей «командой» пропадает…, придумывая при этом разные причины.",13,1.0
"13 июня 2024 года Мустафа Тимур Чубанович 22.06.1995 года рождения заключил со мной договор о постройке бани. Взял деньги 1 млн. 200 тыс рублей двумя траншами по 700 и 500 тысяч. Начал строить. Через неделю, когда выяснилось, что он и его бригада строят без соблюдения технологий строительства (кровля без контрейки, вместо ветровлагозащиты - пароизоляция. Отсутствие обрешетки под вентилируемым фасадом, отсутствие сетки от грызунов, не подходящая мембрана на крыше, которая еще и установлена не во всех местах и т.д.), я потребовала все переделать. Он согласился, но сказал, что ему нужны еще деньги, т.к. те, что я дала он потратил. Я потребовала отчет о потраченных деньгах, он сказал, что ему некогда этим заниматься. Два месяца обещал доделать и переделать. Потом просто пропал. Заблокировал меня и на авито и в вотсапе. В последнем сообщении написал, что ему надоело ))). Его номер телефона +79038781239. Будьте осторожны!",13,1.0
"Сначала официально заказала замерщика в магазине Л-М. Пришел Виктор. Яковлевич. Б. Замер сделал. Сразу позвонили из Леруа, запросили отзыв. Оставила только положительный. Попросила Виктора порекомендовать строителя. ""Порекомендовал""!!!! Пришел первый строитель. Понятно, что из ближнего зарубежья. В первый же день запросил, чтоб я оплачивала ТАКСИ!!! Т.к. ему ехать далеко! Потом отнекивался, делал вид, что не говорил такого. На второй день он просто устроил ИСТЕРИКУ со слезами. Сказал, что ему тяжело работать.",13,1.0
"Нужен был ремонт одной комнаты, 20 кв м. Нашла несколько подрядчиков на разных сайтах. Встречалась, составляли примерные сметы, но Андрей Денисович Котов с сайта Профи-Мастер был самым настойчивым, на нем и остановила свой выбор. О чем сейчас сильно сожалею. Составили договор и начали работу 9 апреля. Срок окончания по договору 14 июля. Работа была оценена в 174495 руб. Договорились, что все материалы будет закупать сам подрядчик и предоставлять чеки. Разбили на 4 этапа. Перед каждым этапом вносился аванс и переводились деньги на закупку материалов, кстати, с моей стороны ни разу не было задержки по выплатам. Зато со стороны подрядчика постоянные задержки работ по непредвиденным обстоятельствам. Чеки на мелкие суммы я видела только на первом этапе, потом мне присылались только таблицы в Excel с разбросанными суммами. Кто хоть раз делал ремонт, знают на каком стрессе он проходит и я даже не додумалась проверить стоимость материалов. На втором этапе, когда увидела сумму за грузчиков 14000 руб, я стала проверять стоимость основных закупок и сразу поймала подрядчика на обмане. На каждый мешок штукатурки он накинул сверху 50 руб., а их было закуплено 40 шт.! После моих вопросов, Котов сбросил 8000 руб за грузчиков и сказал, что это ошибся менеджер магазина. Перед началом работ он уверял меня, что работает только с проверенными мастерами, в итоге приходили или студенты, или люди с явными признаками употребления алкоголя, которых, как я понимаю, он находил на черной бирже труда. Отдать должное, некоторые действительно работали неплохо, но при конфиденциальном разговоре все жаловались, что он им платит частями и очень мало. Но это его дело. Третий этап со штукатуркой был выполнен с техническими нарушениями: по словам мастера, который занимался оштукатуриванием, маячки были установлены криво и на очень толстый слой, штукатурка не укладывалась, сползала вниз. По итогу, с одной стороны сырость прошла к соседке, у нее вспучились обои. Я позвонила Котову, объяснила ситуацию, он заверил, что все исправит, пообещал поставить пушку для просушки, короче, полное сотрудничество и участие. Соседи рассказали, что подрядчик приезжал, вроде что то делал, но по вечерам я никаких изменений не замечала. Только через несколько дней был поставлен обыкновенный бытовой вентилятор, который целыми днями дул в эту стенку. Так как я работаю и могу контролировать процесс только по телефону, при созвонах меня уверяли, что все под контролем и надо дать время на просушку. Прошел почти месяц, мне пришло сообщение от Котова, суть которого было: ну что там? мы продолжаем работу или как? а то уже обязательства по договору скоро наступят. Я в полном недоумении спросила: дело во мне? я каким то образом препятствую работам? Котов ответил, что тогда он готовит материалы к последнему заключительному этапу, я подтвердила готовность. И на этом человек пропал. На звонки не отвечает, сообщения игнорирует. Через месяц позвонила с чужого номера и мне ответили! Сказал, что,возникли непреодолимые условия для работы - наверное цунами прошел, но он готов продолжить, напоминаю, на тот момент срок договора уже закончился. Я ответила, что теперь я уже не готова сотрудничать и попросила вернуть переплаченные деньги за излишки материалов, хотя бы за это!!! Я вызывала нескольких мастеров, которые обнаружили неровные стены и откосы, пленка, которая закрывала кондиционер была заштукатурена внутрь стены, пришлось вырывать с кусками штукатурки, новый подоконник, с которого даже специально была не снята защитная пленка, пробит в нескольких местах, а кабель и провода в новых коробках все оплавлены, это, по-видимому, когда Котов пытался включать тепловую пушку для просушки стены.",13,1.0
"79167507442 Занимается строительными работами. Крайне не рекомендую данного персонажа. Бригады непонятные, проверенных людей нет, за работу никакой ответственности по факту не несет только денег требует. Приступает к работам, до конца не выполняет, рабочие уходят, откуда берет новых непонятно. Общаться не умеет ни с рабочими ни с заказчиком. По факту выполнения начинает поднимать ценники( которые и так завышены) на выполненные работы и доплатить рабочим.",13,1.0
